"k","Score","Time (seconds)","Best Cluster (k)","run","var"
4,0.0760433032804424,7.99800000002142," ",3,1
5,0.11182255994022,7.68700000000536," ",3,1
2,0.0294303727461748,8.33999999999651," ",4,1
3,0.0182417240838973,8.50099999998929,"BEST",4,1
4,0.079214325321733,8.00500000000466," ",4,1
5,0.111806822380157,7.64900000000489," ",4,1
2,0.0233872342153755,8.41399999998976," ",5,1
3,0.0204265503932271,8.41300000000047,"BEST",5,1
4,0.0860993851672394,8.1019999999844," ",5,1
5,0.108035705846582,7.94900000002235," ",5,1
2,0.0234848866493793,8.33900000000722," ",6,1
3,0.0198060644815383,8.4769999999844,"BEST",6,1
4,0.0863902472352954,8.0679999999993," ",6,1
5,0.111784588212597,7.77700000000186," ",6,1
2,0.0207734668783094,8.42199999999139," ",7,1
3,0.0201171440874777,8.73500000001513,"BEST",7,1
4,0.0811691063990951,8.63699999998789," ",7,1
5,0.112533940740582,7.69599999999627," ",7,1
2,0.019214598495364,8.50800000000163," ",8,1
3,0.0177818015685807,8.56999999997788,"BEST",8,1
4,0.0809241790579422,8.03200000000652," ",8,1
5,0.114755263264544,7.96499999999651," ",8,1
2,0.0182727008689461,9.69800000000396," ",9,1
3,0.0168155617657907,9.07700000001932,"BEST",9,1
4,0.0864326256272313,8.16399999998976," ",9,1
5,0.114486653379833,7.7609999999986," ",9,1
2,0.0199153185406932,8.6140000000014," ",10,1
3,0.016492748965742,8.91699999998673,"BEST",10,1
4,0.092582237919665,8.34999999997672," ",10,1
5,0.114831831724724,7.76499999998487," ",10,1
2,0.0204152946319254,8.62699999997858," ",11,1
3,0.0157029145394089,9.01299999997718,"BEST",11,1
4,0.0861428741201268,8.20300000000861," ",11,1
5,0.114244803484803,7.89199999999255," ",11,1
2,0.0248674765587831,8.67499999998836," ",12,1
3,0.0172435954085892,8.66800000000512,"BEST",12,1
4,0.0881495846271467,8.2960000000021," ",12,1
5,0.113556512620612,7.80300000001444," ",12,1
2,0.0232599358520571,8.55999999999767," ",13,1
3,0.0176433556684546,8.58300000001327,"BEST",13,1
4,0.0883165989924792,8.34299999999348," ",13,1
5,0.111619043420407,7.79999999998836," ",13,1
2,0.0234123681509571,8.81400000001304," ",14,1
3,0.0209594948241038,8.51800000001094,"BEST",14,1
4,0.08111305152891,8.42600000000675," ",14,1
5,0.110119297494561,7.72899999999208," ",14,1
2,0.0204536750402542,8.81500000000233,"BEST",15,1
3,0.0208595522585468,10.5309999999881," ",15,1
4,0.0805877745594063,8.27500000002328," ",15,1
5,0.106828345299284,7.79399999999441," ",15,1
2,0.0223531213249798,8.3289999999979," ",16,1
3,0.0210635598824252,8.70800000001327,"BEST",16,1
4,0.0875269088997826,8.02999999999884," ",16,1
5,0.105624131439856,7.61900000000605," ",16,1
2,0.0202130568791506,8.34900000001653,"BEST",17,1
3,0.0212587867266206,8.46299999998882," ",17,1
4,0.0873776366361099,8.11999999999534," ",17,1
5,0.109185078567499,7.85500000001048," ",17,1
2,0.0212875503372811,8.33999999999651," ",18,1
3,0.0186788459292107,8.69099999999162,"BEST",18,1
4,0.0848872178393758,8.03299999999581," ",18,1
5,0.109719187694863,8.04200000001583," ",18,1
2,0.0237459735912023,8.43400000000838," ",19,1
3,0.0167482750072819,8.48199999998906,"BEST",19,1
4,0.0837821864941328,8.09300000002258," ",19,1
5,0.108583347258289,7.63699999998789," ",19,1
2,0.0210677594685989,8.69900000002235," ",20,1
3,0.0169628430525498,8.51799999998184,"BEST",20,1
4,0.0864731639475812,8.06299999999464," ",20,1
5,0.109338440844933,7.5559999999823," ",20,1
2,0.0251639896295433,8.44099999999162," ",21,1
3,0.0171723938851549,8.40399999998044,"BEST",21,1
4,0.08864147277528,8.03100000001723," ",21,1
5,0.107441666766981,7.5789999999979," ",21,1
2,0.0239171703232062,8.39599999997881," ",22,1
3,0.0177880498613288,8.43299999998999,"BEST",22,1
4,0.0913192610109012,8.00400000001537," ",22,1
5,0.108850623890251,7.66200000001118," ",22,1
2,0.0252622992186941,8.375," ",23,1
3,0.0180018001283696,8.40000000002328,"BEST",23,1
4,0.0918531855296641,8.03299999999581," ",23,1
5,0.107732289423978,7.76699999999255," ",23,1
2,0.0266726910460482,8.37599999998929," ",24,1
3,0.0187145682664775,8.42000000001281,"BEST",24,1
4,0.089205538286765,8.02499999999418," ",24,1
5,0.10821338507921,7.60799999997835," ",24,1
2,0.0254848373501101,8.39400000000023," ",25,1
3,0.0204766417415201,8.43499999999767,"BEST",25,1
4,0.0899940580064414,8.63500000000931," ",25,1
5,0.108687030743941,7.65600000001723," ",25,1
